Shell_Label,Shell_Part,Shell_N1,Shell_N2,Shell_N3,Shell_N4
9572098,5,37741562,37741634,37741635,37741563
9572099,5,37741563,37741635,37741615,37741543
9572152,5,37741615,37741687,37741688,37741616
9572155,5,37741619,37741691,37741692,37741620
9572156,5,37741620,37741692,37741693,37741621
9572157,5,37741621,37741693,37741694,37741622
9572158,5,37741622,37741694,37741695,37741623
9572159,5,37741623,37741695,37741696,37741624
9572160,5,37741624,37741696,37741697,37741625
9572161,5,37741625,37741697,37741698,37741626
9572162,5,37741626,37741698,37741699,37741627
9572163,5,37741627,37741699,37741700,37741628
9572164,5,37741628,37741700,37741701,37741629
9572165,5,37741629,37741701,37741702,37741630
9572166,5,37741630,37741702,37741703,37741631
9572167,5,37741631,37741703,37741704,37741632
9572168,5,37741632,37741704,37741705,37741633
9572169,5,37741633,37741705,37741706,37741634
9572170,5,37741634,37741706,37741707,37741635
9572171,5,37741635,37741707,37741687,37741615
9572224,5,37741687,37741759,37741760,37741688
9572227,5,37741691,37741763,37741764,37741692
9572228,5,37741692,37741764,37741765,37741693
9572229,5,37741693,37741765,37741766,37741694
9572230,5,37741694,37741766,37741767,37741695
9572231,5,37741695,37741767,37741768,37741696
9572232,5,37741696,37741768,37741769,37741697
9572233,5,37741697,37741769,37741770,37741698
9572234,5,37741698,37741770,37741771,37741699
9572235,5,37741699,37741771,37741772,37741700
9572236,5,37741700,37741772,37741773,37741701
9572237,5,37741701,37741773,37741774,37741702
9572238,5,37741702,37741774,37741775,37741703
9572239,5,37741703,37741775,37741776,37741704
9572240,5,37741704,37741776,37741777,37741705
9572241,5,37741705,37741777,37741778,37741706
9572242,5,37741706,37741778,37741779,37741707
9572243,5,37741707,37741779,37741759,37741687
9572296,5,37741759,37741831,37741832,37741760
9572299,5,37741763,37741835,37741836,37741764
9572300,5,37741764,37741836,37741837,37741765
9572301,5,37741765,37741837,37741838,37741766
9572302,5,37741766,37741838,37741839,37741767
9572303,5,37741767,37741839,37741840,37741768
9572304,5,37741768,37741840,37741841,37741769
9572305,5,37741769,37741841,37741842,37741770
9572306,5,37741770,37741842,37741843,37741771
9572307,5,37741771,37741843,37741844,37741772
9572308,5,37741772,37741844,37741845,37741773
9572309,5,37741773,37741845,37741846,37741774
9572310,5,37741774,37741846,37741847,37741775
9572311,5,37741775,37741847,37741848,37741776
9572312,5,37741776,37741848,37741849,37741777
9572313,5,37741777,37741849,37741850,37741778
9572314,5,37741778,37741850,37741851,37741779
9572315,5,37741779,37741851,37741831,37741759
9572368,5,37741831,37741903,37741904,37741832
9572371,5,37741835,37741907,37741908,37741836
9572372,5,37741836,37741908,37741909,37741837
9572373,5,37741837,37741909,37741910,37741838
9572374,5,37741838,37741910,37741911,37741839
9572375,5,37741839,37741911,37741912,37741840
9572376,5,37741840,37741912,37741913,37741841
9572377,5,37741841,37741913,37741914,37741842
9572378,5,37741842,37741914,37741915,37741843
9572379,5,37741843,37741915,37741916,37741844
9572380,5,37741844,37741916,37741917,37741845
9572381,5,37741845,37741917,37741918,37741846
9572382,5,37741846,37741918,37741919,37741847
9572383,5,37741847,37741919,37741920,37741848
9572384,5,37741848,37741920,37741921,37741849
9572385,5,37741849,37741921,37741922,37741850
9572386,5,37741850,37741922,37741923,37741851
9572387,5,37741851,37741923,37741903,37741831
9572440,5,37741903,37741975,37741976,37741904
9572443,5,37741907,37741979,37741980,37741908
9572444,5,37741908,37741980,37741981,37741909
9572445,5,37741909,37741981,37741982,37741910
9572446,5,37741910,37741982,37741983,37741911
9572447,5,37741911,37741983,37741984,37741912
9572448,5,37741912,37741984,37741985,37741913
9572449,5,37741913,37741985,37741986,37741914
9572450,5,37741914,37741986,37741987,37741915
9572451,5,37741915,37741987,37741988,37741916
9572452,5,37741916,37741988,37741989,37741917
9572453,5,37741917,37741989,37741990,37741918
9572454,5,37741918,37741990,37741991,37741919
9572455,5,37741919,37741991,37741992,37741920
9572456,5,37741920,37741992,37741993,37741921
9572457,5,37741921,37741993,37741994,37741922
9572458,5,37741922,37741994,37741995,37741923
9572459,5,37741923,37741995,37741975,37741903
9572512,5,37741975,37742047,37742048,37741976
9572515,5,37741979,37742051,37742052,37741980
9572516,5,37741980,37742052,37742053,37741981
9572517,5,37741981,37742053,37742054,37741982
9572518,5,37741982,37742054,37742055,37741983
9572519,5,37741983,37742055,37742056,37741984
9572520,5,37741984,37742056,37742057,37741985
9572521,5,37741985,37742057,37742058,37741986
9572522,5,37741986,37742058,37742059,37741987
9572523,5,37741987,37742059,37742060,37741988
9572524,5,37741988,37742060,37742061,37741989
9572525,5,37741989,37742061,37742062,37741990
9572526,5,37741990,37742062,37742063,37741991
9572527,5,37741991,37742063,37742064,37741992
9572528,5,37741992,37742064,37742065,37741993
9572529,5,37741993,37742065,37742066,37741994
9572530,5,37741994,37742066,37742067,37741995
9572531,5,37741995,37742067,37742047,37741975
9572584,5,37742047,37742119,37742120,37742048
9572587,5,37742051,37742123,37742124,37742052
9572588,5,37742052,37742124,37742125,37742053
9572589,5,37742053,37742125,37742126,37742054
9572590,5,37742054,37742126,37742127,37742055
9572591,5,37742055,37742127,37742128,37742056
9572592,5,37742056,37742128,37742129,37742057
9572593,5,37742057,37742129,37742130,37742058
9572594,5,37742058,37742130,37742131,37742059
9572595,5,37742059,37742131,37742132,37742060
9572596,5,37742060,37742132,37742133,37742061
9572597,5,37742061,37742133,37742134,37742062
9572598,5,37742062,37742134,37742135,37742063
9572599,5,37742063,37742135,37742136,37742064
9572600,5,37742064,37742136,37742137,37742065
9572601,5,37742065,37742137,37742138,37742066
9572602,5,37742066,37742138,37742139,37742067
9572603,5,37742067,37742139,37742119,37742047
9572656,5,37742119,37742191,37742192,37742120
9572659,5,37742123,37742195,37742196,37742124
9572660,5,37742124,37742196,37742197,37742125
