Solid_Label,Solid_Part,Solid_N1,Solid_N2,Solid_N3,Solid_N4,Solid_N5,Solid_N6,Solid_N7,Solid_N8
10037612,7,37541319,37541320,37541450,37541449,37315119,37315120,37315250,37315249
10037613,7,37541320,37541321,37541451,37541450,37315120,37315121,37315251,37315250
10037614,7,37541321,37541322,37541452,37541451,37315121,37315122,37315252,37315251
10037615,7,37541322,37541323,37541453,37541452,37315122,37315123,37315253,37315252
10037616,7,37541323,37541324,37541454,37541453,37315123,37315124,37315254,37315253
10037617,7,37541324,37541325,37541455,37541454,37315124,37315125,37315255,37315254
10037618,7,37541325,37541326,37541456,37541455,37315125,37315126,37315256,37315255
10037619,7,37541326,37541327,37541457,37541456,37315126,37315127,37315257,37315256
10037620,7,37541327,37541328,37541458,37541457,37315127,37315128,37315258,37315257
10037621,7,37541328,37541329,37541459,37541458,37315128,37315129,37315259,37315258
10037622,7,37541329,37541330,37541460,37541459,37315129,37315130,37315260,37315259
10037715,7,37541423,37541424,37541554,37541553,37315223,37315224,37315354,37315353
10037716,7,37541424,37541425,37541555,37541554,37315224,37315225,37315355,37315354
10037717,7,37541425,37541426,37541556,37541555,37315225,37315226,37315356,37315355
10037718,7,37541426,37541427,37541557,37541556,37315226,37315227,37315357,37315356
10037719,7,37541427,37541428,37541558,37541557,37315227,37315228,37315358,37315357
10037720,7,37541428,37541429,37541559,37541558,37315228,37315229,37315359,37315358
10037721,7,37541429,37541430,37541560,37541559,37315229,37315230,37315360,37315359
10037722,7,37541430,37541431,37541561,37541560,37315230,37315231,37315361,37315360
10037723,7,37541431,37541432,37541562,37541561,37315231,37315232,37315362,37315361
10037724,7,37541432,37541433,37541563,37541562,37315232,37315233,37315363,37315362
10037725,7,37541433,37541434,37541564,37541563,37315233,37315234,37315364,37315363
10037726,7,37541434,37541435,37541565,37541564,37315234,37315235,37315365,37315364
10037727,7,37541435,37541436,37541566,37541565,37315235,37315236,37315366,37315365
